Time,Emotion
2025-07-25 13:46:04,Sad
2025-07-25 13:46:40,Sad
2025-07-25 13:46:50,Sad
2025-07-25 13:47:29,Happy
2025-07-25 13:47:56,Sad
2025-07-25 13:48:30,Sad
2025-07-25 13:49:18,Calm
2025-07-25 13:49:33,Sad
2025-07-25 13:50:08,Sad
2025-07-25 13:50:16,Sad
2025-07-25 13:50:40,Disgust
2025-07-25 13:50:56,Calm
2025-07-25 13:51:14,Sad
2025-07-25 13:51:25,Sad
2025-07-25 13:51:41,Calm
2025-07-25 13:51:48,Disgust
2025-07-25 13:52:11,Sad
2025-07-25 13:52:21,Calm
2025-07-25 13:54:50,Sad
2025-07-25 13:55:36,Calm
2025-07-25 13:55:44,Sad
2025-07-25 13:56:24,Happy
2025-07-25 13:56:48,Sad
2025-07-25 13:56:55,Happy
2025-07-25 13:57:16,Happy
2025-07-25 13:57:26,Sad
2025-07-25 13:58:12,Fearful
2025-07-25 13:58:36,Happy
2025-07-25 13:59:08,Happy
2025-07-25 14:00:04,Fearful
2025-07-25 14:00:44,Happy
2025-07-25 14:01:03,Neutral
2025-07-25 14:01:21,Sad
2025-07-25 14:01:27,Fearful
2025-07-25 14:02:47,Happy
2025-07-25 14:03:04,Happy
2025-07-25 14:03:35,Happy
2025-07-25 14:30:46,Sad
2025-07-25 14:31:00,Calm
2025-07-25 14:33:47,Sad
2025-07-25 14:34:04,Sad
2025-07-25 14:34:54,Sad
2025-07-25 14:34:59,Sad
2025-07-25 14:35:13,Fearful
2025-07-25 14:39:05,Neutral
2025-07-25 14:39:37,Happy
2025-07-25 15:54:31,Happy
2025-07-25 15:54:55,Calm
2025-07-25 15:55:31,Disgust
2025-07-25 15:56:01,Happy
2025-07-25 15:56:46,Sad
2025-07-25 15:57:06,Fearful
2025-07-25 16:05:15,Disgust
2025-07-25 16:05:26,Sad
2025-07-25 16:05:31,Calm
2025-07-25 16:05:48,Calm
2025-07-25 16:05:54,Disgust
2025-07-25 23:36:57,Calm
2025-07-25 23:37:14,Sad
2025-07-25 23:37:32,Disgust
2025-07-25 23:38:04,Calm
2025-07-25 23:38:27,Disgust
2025-07-25 23:38:38,Angry
